img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;h_11;h_12;h_13;h_14;h_15;h_16;h_17;h_18;h_19;h_20;h_21;h_22;h_23;h_24;h_25;h_26;h_27;h_28;h_29;h_30;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30
Pieza_01_foto0;1;0;55;55;55;56;56;57;67;67;67;64;64;57;57;57;91;91;91;90;62;62;62;66;66;66;66;67;75;77;77;77;76.36363636363636;76.36363636363636;76.36363636363636;75.0;75.0;73.6842105263158;62.6865671641791;62.6865671641791;62.6865671641791;65.625;65.625;73.6842105263158;73.6842105263158;73.6842105263158;46.15384615384615;46.15384615384615;46.15384615384615;46.666666666666664;67.74193548387096;67.74193548387096;67.74193548387096;63.63636363636363;63.63636363636363;63.63636363636363;63.63636363636363;62.6865671641791;56.0;54.54545454545455;54.54545454545455;54.54545454545455
Pieza_01_foto00;1;0;80;80;80;80;69;68;65;65;65;65;65;64;64;82;82;82;80;58;58;60;64;69;69;69;63;59;59;59;57;57;15.744047619047619;15.744047619047619;15.744047619047619;10.714285714285714;4.934437543133195;3.081232492997199;2.3443223443223444;2.3443223443223444;2.3443223443223444;2.3443223443223444;2.161172161172161;1.8229166666666667;1.8229166666666667;18.147502903600465;18.147502903600465;16.869918699186993;0.6845238095238095;0.041050903119868636;0.041050903119868636;0.35714285714285715;1.8229166666666667;3.588681849551415;4.968944099378882;3.899240855762595;0.45351473922902497;0.16142050040355124;0.16142050040355124;0.0;0.0;0.0
Pieza_01_foto0118;1;118;63;63;63;63;62;62;62;62;62;62;64;64;64;62;61;60;60;60;59;59;57;57;58;58;58;55;61;61;61;61;8.503401360544217;8.503401360544217;8.503401360544217;7.936507936507937;7.526881720430108;7.526881720430108;7.526881720430108;7.526881720430108;7.526881720430108;7.526881720430108;9.523809523809524;9.523809523809524;8.333333333333334;7.526881720430108;6.0889929742388755;5.714285714285714;5.714285714285714;5.714285714285714;4.882970137207425;3.9951573849878934;3.3834586466165413;3.3834586466165413;4.105090311986864;4.105090311986864;2.8735632183908044;2.121212121212121;4.957064793130367;6.596409055425449;6.596409055425449;6.596409055425449
Pieza_01_foto0119;1;119;64;64;64;63;66;66;66;65;64;61;61;61;61;62;63;63;63;61;60;60;59;59;60;64;64;64;69;69;69;69;9.523809523809524;9.523809523809524;8.928571428571429;8.503401360544217;11.3997113997114;11.688311688311689;11.688311688311689;9.963369963369964;7.738095238095238;6.596409055425449;6.596409055425449;6.596409055425449;6.596409055425449;7.526881720430108;8.503401360544217;8.503401360544217;7.482993197278912;6.0889929742388755;5.714285714285714;5.714285714285714;4.882970137207425;4.882970137207425;5.714285714285714;9.226190476190476;9.523809523809524;9.523809523809524;13.457556935817806;15.217391304347826;15.217391304347826;15.217391304347826
Pieza_01_foto0137;1;137;64;64;64;64;64;66;67;70;71;71;71;71;71;70;71;72;72;74;74;74;75;75;75;75;78;78;78;55;55;55;65.625;65.625;65.625;65.625;65.625;63.63636363636363;62.6865671641791;60.0;59.15492957746479;59.15492957746479;59.15492957746479;59.15492957746479;59.15492957746479;60.0;59.15492957746479;58.333333333333336;58.333333333333336;56.75675675675676;56.75675675675676;56.75675675675676;56.0;56.0;56.0;56.0;53.84615384615385;53.84615384615385;53.84615384615385;76.36363636363636;76.36363636363636;76.36363636363636
Pieza_01_foto0138;1;138;72;72;72;72;74;75;75;75;76;76;73;73;76;76;77;77;77;77;77;77;77;78;78;78;79;82;82;82;81;70;58.333333333333336;58.333333333333336;58.333333333333336;58.333333333333336;56.75675675675676;56.0;56.0;56.0;55.26315789473684;55.26315789473684;57.534246575342465;57.534246575342465;55.26315789473684;55.26315789473684;54.54545454545455;54.54545454545455;54.54545454545455;54.54545454545455;54.54545454545455;54.54545454545455;54.54545454545455;53.84615384615385;53.84615384615385;53.84615384615385;53.164556962025316;51.21951219512195;51.21951219512195;51.21951219512195;51.851851851851855;60.0
Pieza_01_foto0152;1;152;58;58;58;58;57;56;56;56;56;54;54;54;53;53;55;55;55;55;53;53;53;53;53;52;51;51;54;55;55;55;14.819376026272579;14.819376026272579;14.819376026272579;14.819376026272579;12.781954887218046;12.287414965986395;12.287414965986395;12.287414965986395;10.841836734693878;9.920634920634921;9.920634920634921;9.523809523809524;8.80503144654088;8.80503144654088;10.606060606060606;11.082251082251082;11.082251082251082;9.913419913419913;8.176100628930818;8.265947888589398;8.80503144654088;8.80503144654088;8.44564240790656;7.142857142857143;6.722689075630252;6.722689075630252;8.73015873015873;11.082251082251082;11.082251082251082;11.082251082251082
Pieza_01_foto0153;1;153;69;70;71;71;71;71;70;70;70;70;70;68;68;68;68;68;68;68;64;64;63;63;63;65;65;65;58;62;62;62;15.217391304347826;15.748299319727892;17.404426559356136;17.739771965124078;17.739771965124078;16.968477531857815;16.462585034013607;16.462585034013607;16.462585034013607;16.462585034013607;15.408163265306122;14.005602240896359;14.005602240896359;14.005602240896359;14.005602240896359;14.005602240896359;14.005602240896359;11.204481792717086;9.523809523809524;8.928571428571429;8.503401360544217;8.503401360544217;8.503401360544217;10.586080586080586;10.586080586080586;6.227106227106227;4.105090311986864;7.526881720430108;7.526881720430108;7.526881720430108
Pieza_01_foto0184;1;184;64;65;66;67;67;67;66;66;66;66;65;65;64;62;62;62;62;60;61;61;61;61;61;62;62;62;68;68;68;68;9.523809523809524;10.036630036630036;11.544011544011545;12.828713574982231;12.828713574982231;12.153518123667377;11.688311688311689;11.688311688311689;11.688311688311689;11.03896103896104;10.586080586080586;10.183150183150182;8.333333333333334;7.526881720430108;7.526881720430108;7.526881720430108;6.490015360983103;5.714285714285714;6.24512099921936;6.596409055425449;6.596409055425449;6.596409055425449;6.596409055425449;7.526881720430108;7.526881720430108;7.526881720430108;13.095238095238095;14.005602240896359;14.005602240896359;14.005602240896359
Pieza_01_foto0185;1;185;65;65;62;61;62;63;63;63;62;62;63;63;61;61;61;59;59;57;57;57;57;57;57;58;58;58;59;59;59;59;24.761904761904763;24.02930402930403;19.431643625192013;18.891491022638565;19.96927803379416;21.390778533635675;21.768707482993197;21.65532879818594;20.31490015360983;20.31490015360983;21.768707482993197;21.693121693121693;18.891491022638565;18.891491022638565;17.17408274785324;16.142050040355127;14.891041162227603;13.533834586466165;13.533834586466165;13.533834586466165;13.533834586466165;13.533834586466165;13.533834586466165;14.819376026272579;14.819376026272579;14.819376026272579;15.617433414043584;16.142050040355127;16.142050040355127;16.142050040355127
Pieza_01_foto0219;1;219;57;57;59;60;60;60;61;61;64;64;64;64;64;65;65;65;69;69;69;65;73;73;74;76;76;76;71;77;77;77;3.3834586466165413;3.3834586466165413;4.882970137207425;5.476190476190476;5.714285714285714;5.714285714285714;6.596409055425449;6.596409055425449;8.556547619047619;9.523809523809524;9.523809523809524;9.523809523809524;9.523809523809524;10.586080586080586;10.586080586080586;10.586080586080586;15.217391304347826;15.217391304347826;12.318840579710145;10.586080586080586;20.384866275277233;20.384866275277233;20.945945945945947;24.56140350877193;24.56140350877193;20.17543859649123;17.739771965124078;23.222016079158937;26.00494743351886;26.00494743351886
Pieza_01_foto0255;1;255;57;57;57;56;55;57;59;59;59;59;59;74;74;74;69;69;66;66;66;67;67;67;68;69;70;70;70;70;70;70;3.3834586466165413;3.3834586466165413;3.299916457811195;2.380952380952381;2.121212121212121;3.216374269005848;4.882970137207425;4.882970137207425;4.882970137207425;4.882970137207425;4.882970137207425;21.042471042471043;21.75032175032175;19.176319176319176;15.217391304347826;13.871635610766045;11.688311688311689;11.688311688311689;11.688311688311689;12.828713574982231;12.828713574982231;12.828713574982231;13.340336134453782;15.217391304347826;16.462585034013607;16.462585034013607;16.462585034013607;16.462585034013607;16.462585034013607;16.462585034013607
Pieza_01_foto0277;1;277;69;69;68;68;68;68;68;67;67;67;67;67;67;65;65;65;65;65;64;64;63;63;63;63;62;62;62;61;60;60;60.869565217391305;60.869565217391305;61.76470588235294;61.76470588235294;61.76470588235294;61.76470588235294;61.76470588235294;62.6865671641791;62.6865671641791;62.6865671641791;62.6865671641791;62.6865671641791;62.6865671641791;64.61538461538461;64.61538461538461;64.61538461538461;64.61538461538461;64.61538461538461;65.625;65.625;66.66666666666667;66.66666666666667;66.66666666666667;66.66666666666667;67.74193548387096;67.74193548387096;67.74193548387096;68.85245901639344;70.0;70.0
Pieza_01_foto0295;1;295;55;55;55;55;53;53;53;53;53;53;53;53;54;55;55;59;59;59;58;58;59;59;59;58;58;58;59;62;62;62;11.082251082251082;11.082251082251082;11.082251082251082;9.696969696969697;8.80503144654088;8.80503144654088;8.80503144654088;8.80503144654088;8.80503144654088;8.80503144654088;8.80503144654088;8.80503144654088;9.920634920634921;11.082251082251082;11.082251082251082;13.236481033091202;16.142050040355127;15.980629539951574;14.819376026272579;14.819376026272579;15.577078288942696;16.142050040355127;15.738498789346247;14.819376026272579;14.819376026272579;14.819376026272579;15.69814366424536;20.19969278033794;20.31490015360983;20.31490015360983
Pieza_01_foto0318;1;318;70;70;70;70;70;69;69;69;69;68;67;66;66;66;66;65;65;64;63;63;63;63;63;63;63;63;63;63;63;63;60.0;60.0;60.0;60.0;60.0;60.869565217391305;60.869565217391305;60.869565217391305;60.869565217391305;61.76470588235294;62.6865671641791;63.63636363636363;63.63636363636363;63.63636363636363;63.63636363636363;64.61538461538461;64.61538461538461;65.625;66.66666666666667;66.66666666666667;66.66666666666667;66.66666666666667;66.66666666666667;66.66666666666667;66.66666666666667;66.66666666666667;66.66666666666667;66.66666666666667;66.66666666666667;66.66666666666667
Pieza_01_foto0319;1;319;84;85;85;85;85;85;84;79;79;79;79;79;80;80;80;76;76;75;67;49;79;79;84;84;84;83;82;78;77;75;50.0;49.411764705882355;49.411764705882355;49.411764705882355;49.411764705882355;49.411764705882355;50.0;53.164556962025316;53.164556962025316;53.164556962025316;53.164556962025316;53.164556962025316;52.5;52.5;52.5;55.26315789473684;55.26315789473684;56.0;62.6865671641791;85.71428571428571;53.164556962025316;53.164556962025316;50.0;50.0;50.0;50.602409638554214;51.21951219512195;53.84615384615385;54.54545454545455;56.0
