img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;h_11;h_12;h_13;h_14;h_15;h_16;h_17;h_18;h_19;h_20;h_21;h_22;h_23;h_24;h_25;h_26;h_27;h_28;h_29;h_30;h_31;h_32;h_33;h_34;h_35;h_36;h_37;h_38;h_39;h_40;h_41;h_42;h_43;h_44;h_45;h_46;h_47;h_48;h_49;h_50;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50
Pieza_01_foto0;1;0;55;55;55;55;55;56;56;56;57;57;61;67;67;67;67;64;64;64;58;57;57;57;57;77;90;91;91;91;91;90;62;62;62;62;62;62;66;66;66;66;66;66;66;67;67;77;77;77;77;77;45.45454545454545;45.45454545454545;45.45454545454545;45.45454545454545;45.45454545454545;44.642857142857146;44.642857142857146;44.642857142857146;43.85964912280702;43.85964912280702;40.98360655737705;37.3134328358209;37.3134328358209;37.3134328358209;37.3134328358209;39.0625;39.0625;39.0625;43.10344827586207;43.85964912280702;43.85964912280702;43.85964912280702;43.85964912280702;32.467532467532465;27.77777777777778;27.47252747252747;27.47252747252747;27.47252747252747;27.47252747252747;27.77777777777778;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;40.32258064516129;37.878787878787875;37.878787878787875;37.878787878787875;37.878787878787875;37.878787878787875;37.878787878787875;37.878787878787875;37.3134328358209;37.3134328358209;32.467532467532465;32.467532467532465;32.467532467532465;32.467532467532465;32.467532467532465
Pieza_01_foto00;1;0;80;80;80;80;80;80;76;69;69;65;65;65;65;65;65;65;65;65;65;64;64;64;82;82;82;82;81;80;58;58;58;58;60;64;64;64;69;69;69;69;68;59;59;59;59;59;58;57;57;57;1.8;1.8;1.8;1.8;1.8;1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.1219512195121952;3.1219512195121952;3.1219512195121952;2.731707317073171;2.074074074074074;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto0118;1;118;63;63;63;63;63;63;62;62;62;62;62;62;62;62;62;62;62;64;64;64;64;62;62;62;61;60;60;60;60;60;60;59;59;57;57;57;57;58;58;58;58;55;55;55;55;61;61;61;61;61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto0119;1;119;64;64;64;64;63;63;63;65;66;66;66;66;65;64;63;61;61;61;61;61;61;61;62;63;63;63;63;62;62;60;60;60;60;60;59;59;59;60;60;64;64;64;64;64;67;69;69;69;69;69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06060606060606061;0.06060606060606061;0.06060606060606061;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23880597014925373;0.927536231884058;0.927536231884058;0.927536231884058;0.927536231884058;0.927536231884058
Pieza_01_foto0137;1;137;64;64;64;64;64;64;64;64;65;66;67;67;68;71;71;71;71;71;71;71;71;70;70;70;71;72;72;72;73;74;74;74;74;75;75;75;75;75;75;75;78;78;78;78;78;55;55;55;55;55;39.0625;39.0625;39.0625;39.0625;39.0625;39.0625;39.0625;39.0625;38.46153846153846;37.878787878787875;37.3134328358209;37.3134328358209;36.76470588235294;35.2112676056338;35.2112676056338;35.2112676056338;35.2112676056338;35.2112676056338;35.2112676056338;35.2112676056338;35.2112676056338;35.714285714285715;35.714285714285715;35.714285714285715;35.2112676056338;34.72222222222222;34.72222222222222;34.72222222222222;34.24657534246575;33.78378378378378;33.78378378378378;33.78378378378378;33.78378378378378;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;32.05128205128205;32.05128205128205;32.05128205128205;32.05128205128205;32.05128205128205;45.45454545454545;45.45454545454545;45.45454545454545;45.45454545454545;45.45454545454545
Pieza_01_foto0138;1;138;72;72;72;72;72;72;73;74;75;75;75;75;75;76;76;76;76;73;73;73;76;76;76;77;77;77;77;77;77;77;77;77;77;77;77;77;78;78;78;78;79;79;81;82;82;82;82;81;70;70;34.72222222222222;34.72222222222222;34.72222222222222;34.72222222222222;34.72222222222222;34.72222222222222;34.24657534246575;33.78378378378378;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;32.89473684210526;32.89473684210526;32.89473684210526;32.89473684210526;34.24657534246575;34.24657534246575;34.24657534246575;32.89473684210526;32.89473684210526;32.89473684210526;32.467532467532465;32.467532467532465;32.467532467532465;32.467532467532465;32.467532467532465;32.467532467532465;32.467532467532465;32.467532467532465;32.467532467532465;32.467532467532465;32.467532467532465;32.467532467532465;32.467532467532465;32.05128205128205;32.05128205128205;32.05128205128205;32.05128205128205;31.645569620253166;31.645569620253166;30.864197530864196;30.48780487804878;30.48780487804878;30.48780487804878;30.48780487804878;30.864197530864196;35.714285714285715;35.714285714285715
Pieza_01_foto0152;1;152;58;58;58;58;58;58;58;57;56;56;56;56;56;56;55;54;54;54;54;54;53;53;53;54;54;55;55;55;55;55;53;52;52;53;53;53;53;53;53;51;51;51;51;51;51;55;55;55;55;55;0.27586206896551724;0.27586206896551724;0.27586206896551724;0.27586206896551724;0.27586206896551724;0.27586206896551724;0.13793103448275862;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto0153;1;153;69;69;69;70;71;71;71;71;71;70;70;70;70;70;70;70;70;70;69;68;68;68;68;68;68;68;68;68;68;64;64;64;64;63;63;63;63;63;63;65;65;65;65;58;58;58;62;62;62;62;0.927536231884058;0.927536231884058;0.927536231884058;1.4285714285714286;2.028169014084507;2.028169014084507;2.028169014084507;2.028169014084507;1.6901408450704225;1.4285714285714286;1.4285714285714286;1.4285714285714286;1.4285714285714286;1.4285714285714286;1.4285714285714286;1.4285714285714286;1.4285714285714286;1.1428571428571428;0.6956521739130435;0.5294117647058824;0.5294117647058824;0.5294117647058824;0.5294117647058824;0.5294117647058824;0.5294117647058824;0.5294117647058824;0.5294117647058824;0.5294117647058824;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto0167;1;167;24;24;24;51;51;51;52;53;54;55;55;55;55;55;55;55;55;56;56;56;65;66;66;66;66;66;66;66;56;56;56;56;57;58;58;58;58;58;57;57;57;57;73;73;74;74;74;74;74;74;96.0;96.0;96.0;48.705882352941174;49.01960784313726;49.01960784313726;48.07692307692308;47.16981132075472;46.2962962962963;45.45454545454545;45.45454545454545;45.45454545454545;45.45454545454545;45.45454545454545;45.45454545454545;45.45454545454545;45.45454545454545;44.642857142857146;44.642857142857146;44.642857142857146;38.46153846153846;37.878787878787875;37.878787878787875;37.878787878787875;37.878787878787875;37.878787878787875;37.878787878787875;37.878787878787875;44.642857142857146;44.642857142857146;44.642857142857146;44.642857142857146;43.85964912280702;43.10344827586207;43.10344827586207;43.10344827586207;43.10344827586207;43.10344827586207;43.85964912280702;43.85964912280702;43.85964912280702;43.85964912280702;34.24657534246575;34.24657534246575;33.78378378378378;33.78378378378378;33.78378378378378;33.78378378378378;33.78378378378378;33.78378378378378
Pieza_01_foto0168;1;168;53;53;53;53;53;53;53;53;53;54;54;54;63;64;64;64;64;64;64;53;53;53;53;54;56;56;56;56;56;55;55;55;55;71;72;72;72;72;72;72;72;72;61;61;61;61;61;61;61;61;47.16981132075472;47.16981132075472;47.16981132075472;47.16981132075472;47.16981132075472;47.16981132075472;47.16981132075472;47.16981132075472;47.16981132075472;46.2962962962963;46.2962962962963;46.2962962962963;39.682539682539684;39.0625;39.0625;39.0625;39.0625;39.0625;39.0625;47.16981132075472;47.16981132075472;47.16981132075472;47.16981132075472;46.2962962962963;44.642857142857146;44.642857142857146;44.642857142857146;44.642857142857146;44.642857142857146;45.45454545454545;45.45454545454545;45.45454545454545;45.45454545454545;35.2112676056338;34.72222222222222;34.72222222222222;34.72222222222222;34.72222222222222;34.72222222222222;34.72222222222222;34.72222222222222;34.72222222222222;40.98360655737705;40.98360655737705;40.98360655737705;40.98360655737705;40.98360655737705;40.98360655737705;40.98360655737705;40.98360655737705
