img_name;folder;image;h_1;h_2;h_3;h_4;h_5;h_6;h_7;h_8;h_9;h_10;h_11;h_12;h_13;h_14;h_15;h_16;h_17;h_18;h_19;h_20;h_21;h_22;h_23;h_24;h_25;h_26;h_27;h_28;h_29;h_30;h_31;h_32;h_33;h_34;h_35;h_36;h_37;h_38;h_39;h_40;h_41;h_42;h_43;h_44;h_45;h_46;h_47;h_48;h_49;h_50;h_51;h_52;h_53;h_54;h_55;h_56;h_57;h_58;h_59;h_60;h_61;h_62;h_63;h_64;h_65;h_66;h_67;h_68;h_69;h_70;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40;pw_41;pw_42;pw_43;pw_44;pw_45;pw_46;pw_47;pw_48;pw_49;pw_50;pw_51;pw_52;pw_53;pw_54;pw_55;pw_56;pw_57;pw_58;pw_59;pw_60;pw_61;pw_62;pw_63;pw_64;pw_65;pw_66;pw_67;pw_68;pw_69;pw_70
Pieza_01_foto0;1;0;55;55;55;55;55;55;55;56;56;56;56;57;57;57;59;67;67;67;67;67;67;64;64;64;64;58;57;57;57;57;57;57;77;90;91;91;91;91;91;91;90;90;62;62;62;62;62;62;62;62;62;66;66;66;66;66;66;66;66;67;67;67;75;77;77;77;77;77;77;77;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273;32.142857142857146;32.142857142857146;32.142857142857146;32.142857142857146;31.57894736842105;31.57894736842105;31.57894736842105;30.508474576271187;26.865671641791046;26.865671641791046;26.865671641791046;26.865671641791046;26.865671641791046;26.865671641791046;28.125;28.125;28.125;28.125;31.03448275862069;31.57894736842105;31.57894736842105;31.57894736842105;31.57894736842105;31.57894736842105;31.57894736842105;23.376623376623378;20.0;19.78021978021978;19.78021978021978;19.78021978021978;19.78021978021978;19.78021978021978;19.78021978021978;20.0;20.0;29.032258064516128;29.032258064516128;29.032258064516128;29.032258064516128;29.032258064516128;29.032258064516128;29.032258064516128;29.032258064516128;29.032258064516128;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;26.865671641791046;26.865671641791046;26.865671641791046;24.0;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378
Pieza_01_foto00;1;0;80;80;80;80;80;80;80;80;79;70;69;69;65;65;65;65;65;65;65;65;65;65;65;65;65;65;64;64;64;64;82;82;82;82;82;82;81;80;80;58;58;58;58;58;58;60;60;64;64;64;64;69;69;69;69;69;63;59;59;59;59;59;59;59;58;57;57;57;57;57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06775067750677506;0.06775067750677506;0.06775067750677506;0.06775067750677506;0.06775067750677506;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto0118;1;118;63;63;63;63;63;63;63;63;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;64;64;64;64;64;62;62;62;62;61;60;60;60;60;60;60;60;60;59;59;59;59;57;57;57;57;57;57;58;58;58;58;58;55;55;55;55;55;61;61;61;61;61;61;61;61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto0119;1;119;64;64;64;64;64;64;63;63;63;63;65;66;66;66;66;66;66;65;64;64;62;61;61;61;61;61;61;61;61;61;62;62;63;63;63;63;63;63;62;61;60;60;60;60;60;60;60;59;59;59;59;60;60;60;60;64;64;64;64;64;64;64;69;69;69;69;69;69;69;69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto0137;1;137;64;64;64;64;64;64;64;64;64;64;64;65;65;66;67;67;68;68;70;71;71;71;71;71;71;71;71;71;71;70;70;70;70;70;71;72;72;72;72;73;73;74;74;74;74;74;74;75;75;75;75;75;75;75;75;75;78;78;78;78;78;78;60;55;55;55;55;55;55;55;28.125;28.125;28.125;28.125;28.125;28.125;28.125;28.125;28.125;28.125;28.125;27.692307692307693;27.692307692307693;27.272727272727273;26.865671641791046;26.865671641791046;26.470588235294116;26.470588235294116;25.714285714285715;25.35211267605634;25.35211267605634;25.35211267605634;25.35211267605634;25.35211267605634;25.35211267605634;25.35211267605634;25.35211267605634;25.35211267605634;25.35211267605634;25.714285714285715;25.714285714285715;25.714285714285715;25.714285714285715;25.714285714285715;25.35211267605634;25.0;25.0;25.0;25.0;24.65753424657534;24.65753424657534;24.324324324324323;24.324324324324323;24.324324324324323;24.324324324324323;24.324324324324323;24.324324324324323;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;24.0;23.076923076923077;23.076923076923077;23.076923076923077;23.076923076923077;23.076923076923077;23.076923076923077;30.0;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273
Pieza_01_foto0138;1;138;72;72;72;72;72;72;72;72;72;73;74;74;75;75;75;75;75;75;76;76;76;76;76;76;73;73;73;73;76;76;76;76;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;77;78;78;78;78;78;78;79;79;80;82;82;82;82;82;82;81;70;70;70;70;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;24.65753424657534;24.324324324324323;24.324324324324323;24.0;24.0;24.0;24.0;24.0;24.0;23.68421052631579;23.68421052631579;23.68421052631579;23.68421052631579;23.68421052631579;23.68421052631579;24.65753424657534;24.65753424657534;24.65753424657534;24.65753424657534;23.68421052631579;23.68421052631579;23.68421052631579;23.68421052631579;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378;23.376623376623378;23.076923076923077;23.076923076923077;23.076923076923077;23.076923076923077;23.076923076923077;23.076923076923077;22.78481012658228;22.78481012658228;22.5;21.951219512195124;21.951219512195124;21.951219512195124;21.951219512195124;21.951219512195124;21.951219512195124;22.22222222222222;25.714285714285715;25.714285714285715;25.714285714285715;25.714285714285715
Pieza_01_foto0152;1;152;58;58;58;58;58;58;58;58;58;58;56;56;56;56;56;56;56;56;56;56;54;54;54;54;54;54;54;54;53;53;53;53;53;54;55;55;55;55;55;55;55;54;53;52;52;52;53;53;53;53;53;53;53;53;51;51;51;51;51;51;51;51;54;55;55;55;55;55;55;55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto0153;1;153;69;69;69;69;70;70;71;71;71;71;71;71;70;70;70;70;70;70;70;70;70;70;70;70;70;69;68;68;68;68;68;68;68;68;68;68;68;68;68;68;64;64;64;64;64;63;63;63;63;63;63;63;63;63;64;65;65;65;65;65;58;58;58;58;62;62;62;62;62;62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto0167;1;167;24;24;24;24;51;51;51;51;51;52;53;53;54;55;55;55;55;55;55;55;55;55;55;55;56;56;56;56;56;65;66;66;66;66;66;66;66;66;56;56;56;56;56;56;56;58;58;58;58;58;58;58;58;57;57;57;57;57;73;73;73;74;74;74;74;74;74;74;74;74;75.0;75.0;75.0;75.0;35.294117647058826;35.294117647058826;35.294117647058826;35.294117647058826;35.294117647058826;34.61538461538461;33.9622641509434;33.9622641509434;33.333333333333336;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273;32.142857142857146;32.142857142857146;32.142857142857146;32.142857142857146;32.142857142857146;27.692307692307693;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;27.272727272727273;32.142857142857146;32.142857142857146;32.142857142857146;32.142857142857146;32.142857142857146;32.142857142857146;32.142857142857146;31.03448275862069;31.03448275862069;31.03448275862069;31.03448275862069;31.03448275862069;31.03448275862069;31.03448275862069;31.03448275862069;31.57894736842105;31.57894736842105;31.57894736842105;31.57894736842105;31.57894736842105;24.65753424657534;24.65753424657534;24.65753424657534;24.324324324324323;24.324324324324323;24.324324324324323;24.324324324324323;24.324324324324323;24.324324324324323;24.324324324324323;24.324324324324323;24.324324324324323
Pieza_01_foto0168;1;168;53;53;53;53;53;53;53;53;53;53;53;53;54;54;54;54;54;63;64;64;64;64;64;64;64;64;53;53;53;53;53;53;54;55;56;56;56;56;56;56;55;55;55;55;55;55;71;71;72;72;72;72;72;72;72;72;72;61;61;61;61;61;61;61;61;61;61;61;61;61;33.9622641509434;33.9622641509434;33.9622641509434;33.9622641509434;33.9622641509434;33.9622641509434;33.9622641509434;33.9622641509434;33.9622641509434;33.9622641509434;33.9622641509434;33.9622641509434;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;33.333333333333336;28.571428571428573;28.125;28.125;28.125;28.125;28.125;28.125;28.125;28.125;33.9622641509434;33.9622641509434;33.9622641509434;33.9622641509434;33.9622641509434;33.9622641509434;33.333333333333336;32.72727272727273;32.142857142857146;32.142857142857146;32.142857142857146;32.142857142857146;32.142857142857146;32.142857142857146;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273;32.72727272727273;25.35211267605634;25.35211267605634;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;29.508196721311474;29.508196721311474;29.508196721311474;29.508196721311474;29.508196721311474;29.508196721311474;29.508196721311474;29.508196721311474;29.508196721311474;29.508196721311474;29.508196721311474;29.508196721311474;29.508196721311474
