img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30
Pieza_01_foto0;1;0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;98.95833333333333;46.510416666666664;24.609375;6.875;6.197916666666667;4.84375;4.84375;4.84375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;93.90625;70.80729166666667;40.260416666666664;30.46875;16.71875;16.71875;16.71875
Pieza_01_foto118;1;118;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;98.0625;69.8125;9.1875;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;63.53125;16.6875;0.0;0.0;0.0
Pieza_01_foto119;1;119;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;79.4375;14.59375;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;60.65625;2.875;0.0;0.0;0.0
Pieza_01_foto137;1;137;0.0;0.0;0.0;0.0;28.255208333333332;71.19791666666667;73.28125;85.78125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;29.713541666666668;81.69270833333333;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_01_foto138;1;138;0.0;0.0;0.0;0.0;32.142857142857146;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;47.52232142857143;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_01_foto152;1;152;100.0;100.0;100.0;89.375;86.71875;86.71875;92.03125;100.0;100.0;100.0;52.625;0.0;0.0;0.0;0.0;100.0;100.0;100.0;99.5;99.375;99.375;99.625;100.0;100.0;100.0;80.125;6.625;0.0;0.0;0.0
Pieza_01_foto153;1;153;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;92.60416666666667;29.270833333333332;0.0;0.0;0.0;0.0;0.0;68.125;68.125;70.98958333333333;77.890625;76.40625;76.40625;88.203125;100.0;100.0;92.29166666666667;5.234375;0.0;0.0;0.0;0.0
Pieza_01_foto167;1;167;5.78125;5.78125;5.78125;5.78125;11.041666666666666;35.3125;36.09375;68.77604166666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;12.8125;12.8125;12.8125;12.8125;12.8125;12.8125;20.104166666666668;26.875;73.93229166666667;98.984375;100.0;100.0;93.64583333333333;90.46875;90.46875
Pieza_01_foto168;1;168;0.0;0.0;0.0;0.0;0.0;23.072916666666668;28.75;66.796875;100.0;100.0;100.0;100.0;95.78125;89.6875;88.59375;0.0;0.0;0.0;0.0;0.0;0.0;13.307291666666666;24.635416666666668;83.07291666666667;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_01_foto184;1;184;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;75.80729166666667;23.75;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;97.94270833333333;24.036458333333332;0.0;0.0;0.0;0.0;0.0
