img_name;folder;image;pw_1;pw_2;pw_3;pw_4;pw_5;pw_6;pw_7;pw_8;pw_9;pw_10;pw_11;pw_12;pw_13;pw_14;pw_15;pw_16;pw_17;pw_18;pw_19;pw_20;pw_21;pw_22;pw_23;pw_24;pw_25;pw_26;pw_27;pw_28;pw_29;pw_30;pw_31;pw_32;pw_33;pw_34;pw_35;pw_36;pw_37;pw_38;pw_39;pw_40
Pieza_01_foto0;1;0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;98.4375;53.59375;31.5234375;21.5625;6.875;6.875;5.859375;4.84375;4.84375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;96.953125;83.90625;66.2109375;40.390625;39.6875;26.015625;16.71875;16.71875
Pieza_01_foto118;1;118;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;85.7421875;35.5859375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;96.9921875;40.0;13.28125;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto119;1;119;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;55.5859375;11.953125;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;93.3203125;36.09375;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto137;1;137;0.0;0.0;0.0;0.0;0.0;0.0;13.90625;61.9921875;73.28125;73.28125;78.4375;86.875;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.5703125;72.5390625;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_01_foto138;1;138;0.0;0.0;0.0;0.0;0.0;2.9375;42.0625;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.53125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_01_foto152;1;152;100.0;100.0;100.0;100.0;86.71875;86.71875;86.71875;86.71875;96.6796875;100.0;100.0;100.0;90.0;25.78125;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;99.375;99.375;99.375;99.375;99.84375;100.0;100.0;100.0;100.0;54.6875;3.75;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto153;1;153;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;64.609375;18.203125;0.0;0.0;0.0;0.0;0.0;68.125;68.125;68.125;68.125;78.7890625;76.40625;76.40625;76.40625;76.40625;82.3046875;100.0;100.0;100.0;100.0;88.4375;7.8515625;0.0;0.0;0.0;0.0
Pieza_01_foto167;1;167;5.78125;5.78125;5.78125;5.78125;5.78125;5.78125;5.78125;28.4375;35.3125;36.09375;43.6328125;77.578125;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;12.8125;12.8125;12.8125;12.8125;12.8125;12.8125;12.8125;12.8125;12.8125;18.3203125;24.2578125;27.890625;68.046875;91.328125;100.0;100.0;100.0;100.0;95.234375;90.46875
Pieza_01_foto168;1;168;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.859375;28.75;28.75;42.734375;71.8359375;100.0;100.0;100.0;100.0;100.0;100.0;97.890625;91.5234375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.9296875;24.0625;24.921875;74.609375;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_01_foto184;1;184;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;97.03125;28.5546875;23.75;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;79.21875;3.75;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto185;1;185;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;93.0078125;39.921875;2.0703125;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;95.7421875;26.6796875;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto202;1;202;0.0;0.0;0.0;0.0;0.0;13.15625;46.28125;49.21875;49.21875;78.90625;81.71875;81.71875;81.71875;81.71875;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;10.625;24.0625;24.0625;24.0625;41.125;97.40625;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_01_foto203;1;203;40.46875;40.46875;40.46875;40.46875;43.0859375;67.8515625;100.0;100.0;100.0;100.0;100.0;100.0;93.4765625;65.7421875;27.734375;22.65625;22.65625;22.96875;24.140625;25.234375;61.25;61.25;61.25;61.25;61.25;62.34375;65.625;65.625;69.8828125;100.0;100.0;100.0;100.0;100.0;75.78125;61.0546875;49.375;44.53125;44.53125;44.53125
Pieza_01_foto219;1;219;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;75.51339285714286;25.223214285714285;0.0;0.0;0.0;0.0;7.299107142857143;22.03125;22.03125;7.522321428571429;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;95.29017857142857;61.42857142857143;8.571428571428571;0.0;0.0;0.0;0.0;0.0;3.8839285714285716;13.59375;13.59375;1.9419642857142858;0.0;0.0
Pieza_01_foto220;1;220;100.0;100.0;100.0;100.0;100.0;100.0;100.0;98.17708333333333;53.59375;22.786458333333332;0.0;0.0;0.0;0.0;0.0;3.4895833333333335;13.28125;13.28125;11.901041666666666;0.0;100.0;100.0;100.0;100.0;100.0;100.0;95.49479166666667;61.484375;0.0;0.0;0.0;0.0;0.0;2.4739583333333335;20.338541666666668;31.510416666666668;41.197916666666664;21.5625;13.958333333333334;0.0
Pieza_01_foto236;1;236;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.84375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;11.25;47.40625;47.8125;47.8125;47.8125;56.25;96.1875;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Pieza_01_foto237;1;237;0.0;0.0;0.0;0.0;0.0;39.921875;92.52604166666667;97.65625;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;33.854166666666664;67.05729166666667;67.1875;62.8125;68.125;68.125;68.671875;72.578125;88.75;96.30208333333333;88.90625;88.90625;88.90625;96.30208333333333;100.0;100.0
Pieza_01_foto254;1;254;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;88.64583333333333;44.427083333333336;0.0;0.0;0.0;0.0;23.307291666666668;25.3125;25.3125;2.65625;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;66.45833333333333;17.265625;11.354166666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pieza_01_foto255;1;255;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;82.5390625;28.125;15.5078125;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;78.8671875;43.4765625;25.4296875;13.0859375;0.0;0.0;0.0;0.0
Pieza_01_foto276;1;276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.109375;74.9609375;96.2109375;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;23.046875;71.5625;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
